,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
1341,1341,Attune,Software,"Mountain View, California, United States",1/1/13,2/5/14,2000000,Seed,2000000,Operating
1342,1342,D_nde,"Apps, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Cincinnati, Ohio, United States",6/1/13,2/5/14,1000000,Seed,1165000,Was Acquired
1355,1355,Sellvana,"Commerce and Shopping, Software","Portland, Oregon, United States",1/1/13,2/12/14,5000000,Seed,5000000,Operating
1356,1356,Assemblage,Software,"San Francisco, California, United States",1/1/13,2/13/14,1250000,Seed,1278000,Was Acquired
1357,1357,Polar,"Apps, Data and Analytics, Software, Design, Mobile","New Hampshire, Ohio, United States",1/1/13,2/13/14,1680000,Seed,2880000,Was Acquired
1377,1377,Iodine,"Information Technology, Data and Analytics, Software, Design","San Francisco, California, United States",1/1/13,2/28/14,2500000,Seed,2500000,Operating
1383,1383,Peakos,Commerce and Shopping,"Greenwood Village, Colorado, United States",1/1/12,3/1/14,1200000,Seed,1200000,Operating
1384,1384,Snapdocs,"Real Estate, Software","San Francisco, California, United States",1/1/12,3/1/14,3000000,Seed,3000000,Operating
1393,1393,PetBox,Commerce and Shopping,"San Diego, California, United States",4/1/13,3/1/14,3000000,Seed,3000000,Operating
1396,1396,HuntForce,Software,"Omaha, Nebraska, United States",6/1/13,3/1/14,825000,Seed,1225000,Operating
1404,1404,Anonymess,"Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications","Malibu, California, United States",1/1/14,3/1/14,1500000,Seed,1500000,Operating
1410,1410,XOXO Kitchen,"Media and Entertainment, Internet Services","Minneapolis, Minnesota, United States",1/1/12,3/4/14,2000000,Seed,2000000,Operating
1412,1412,Evergive,"Financial Services, Mobile","Palo Alto, California, United States",1/1/13,3/5/14,1250000,Seed,1500000,Was Acquired
1413,1413,Selfie.com,"Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",1/1/13,3/5/14,640000,Seed,1183643,Operating
1415,1415,TE2,Software,"San Diego, California, United States",1/1/13,3/6/14,3500000,Seed,3500000,Was Acquired
1419,1419,Webflow,"Media and Entertainment, Software, Design","San Francisco, California, United States",1/1/12,3/11/14,2900000,Seed,2900000,Operating
1420,1420,Hukkster,"Commerce and Shopping, Clothing and Apparel, Design","New York, New York, United States",4/1/12,3/12/14,1500000,Seed,4500000,Closed
1428,1428,ITapp,"Information Technology, Software, Internet Services, Privacy and Security","San Jose, California, United States",5/31/12,3/16/14,1400000,Seed,1400000,Was Acquired
1431,1431,Ziploop,Software,"Orinda, California, United States",1/1/13,3/18/14,2200000,Seed,2200000,Operating
1437,1437,"MachineShop, Inc","Software, Internet Services","Denver, Colorado, United States",1/1/12,3/20/14,3000000,Seed,3000000,Operating
1438,1438,Stir,Health Care,"Pasadena, California, United States",6/1/12,3/20/14,1500000,Seed,1500000,Operating
1439,1439,zurvu,"Food and Beverage, Internet Services","New York, New York, United States",1/1/12,3/20/14,1200000,Seed,1200000,Was Acquired
1444,1444,DwellAware,"Information Technology, Real Estate, Data and Analytics, Software, Internet Services, Financial Services, Artificial Intelligence","San Francisco, California, United States",10/16/13,3/23/14,1581000,Seed,2181000,Closed
1451,1451,TrueVault,"Software, Health Care, Internet Services, Privacy and Security, Mobile","Redwood City, California, United States",1/1/13,3/27/14,2500000,Seed,2500000,Operating
1454,1454,Enlightouch Inc.,"Media and Entertainment, Software, Education, Internet Services, Content and Publishing, Mobile","Cupertino, California, United States",10/1/12,3/30/14,900000,Seed,1400000,Operating
1455,1455,Genestamp,,"Menlo Park, California, United States",1/1/13,3/31/14,1700000,Seed,1700000,Operating
1456,1456,Swag'r Inc.,"Gaming, Data and Analytics, Sales and Marketing, Mobile, Advertising","Portland, Oregon, United States",3/1/14,3/31/14,325000,Seed,1325000,Operating
1457,1457,Obeo Health,Health Care,"Burlingame, California, United States",3/2/14,3/31/14,4500000,Seed,4500000,Operating
1464,1464,FitBoomBah,"Commerce and Shopping, Health Care","Chicago, Illinois, United States",8/22/12,4/1/14,1000000,Seed,2210332,Operating
1466,1466,MapMyID,"Commerce and Shopping, Media and Entertainment, Administrative Services, Transportation, Internet Services","Santa Clara, California, United States",9/1/12,4/1/14,1000000,Seed,1250000,Operating
1477,1477,GameSportsNetwork,"Gaming, Sports","New City, New York, United States",1/1/14,4/1/14,4300000,Seed,4300000,Operating
1484,1484,GemShare,"Media and Entertainment, Internet Services, Privacy and Security, Mobile","San Francisco, California, United States",1/1/13,4/3/14,1200000,Seed,1200000,Operating
1489,1489,Addapp,"Software, Sports, Health Care","San Francisco, California, United States",4/3/14,4/4/14,1800000,Seed,1800000,Operating
1495,1495,Last Guide,"Travel and Tourism, Media and Entertainment, Community and Lifestyle, Internet Services","San Francisco, California, United States",1/1/13,4/10/14,2100000,Seed,2100000,Closed
1505,1505,Badge,"Software, Mobile","New York, New York, United States",1/1/14,4/14/14,1100000,Seed,1100000,Operating
1510,1510,better.,Health Care,"Palo Alto, California, United States",1/1/13,4/16/14,5000000,Seed,5000000,Operating
1512,1512,Enplug,"Media and Entertainment, Software, Sales and Marketing, Internet Services, Advertising","Culver City, California, United States",9/1/12,4/17/14,2500000,Seed,3700000,Operating
1515,1515,Vidapp,Software,"Berkeley, California, United States",1/1/14,4/17/14,1200000,Seed,1200000,Operating
1521,1521,Stitch,Mobile,"San Francisco, California, United States",1/1/13,4/24/14,3250000,Seed,3250000,Was Acquired
1524,1524,CentralBOS,Software,"Atlanta, Georgia, United States",5/1/14,4/27/14,2000000,Seed,2000000,Operating
1525,1525,Bia,"Sports, Health Care, Clothing and Apparel, Design","Manhattan Beach, California, United States",1/1/12,4/30/14,100000,Seed,3300000,Operating
1527,1527,Shopbeam,"Media and Entertainment, Sales and Marketing, Advertising","Brooklyn, New York, United States",11/1/13,4/30/14,1500000,Seed,1500000,Operating
1530,1530,Flavour,"Apps, Software","San Francisco, California, United States",1/1/14,4/30/14,1125000,Seed,1125000,Was Acquired
1562,1562,Full Cycle Bioplastics,"Biotechnology, Science and Engineering, Sustainability","Richmond, California, United States",1/1/14,5/1/14,2000000,Seed,2000000,Operating
1563,1563,Brojure,"Media and Entertainment, Software, Sales and Marketing, Internet Services","San Diego, California, United States",3/29/14,5/1/14,2000000,Seed,2000000,Operating
1567,1567,CircleShout,"Apps, Information Technology, Real Estate, Food and Beverage, Software, Sales and Marketing, Internet Services, Mobile","Carlsbad, California, United States",5/1/14,5/1/14,2000000,Seed,2000000,Operating
1570,1570,Fetch,"Apps, Commerce and Shopping, Software, Mobile","Oakland, California, United States",1/1/13,5/5/14,2300000,Seed,2300000,Closed
1571,1571,Allclasses,"Education, Internet Services","Boston, Massachusetts, United States",1/1/13,5/6/14,1500000,Seed,1750000,Was Acquired
1573,1573,uniRow Inc,"Software, Sales and Marketing, Education","Mountain View, California, United States",6/15/13,5/6/14,214471,Seed,1214471,Operating
1577,1577,Beauty Noted,Consumer Goods,"Menlo Park, California, United States",2/20/14,5/6/14,2200000,Seed,2200000,Operating
1583,1583,10sec,"Commerce and Shopping, Mobile","San Francisco, California, United States",7/8/13,5/8/14,1600000,Seed,1600000,Operating
1584,1584,"LifeMap Solutions, Inc.","Data and Analytics, Health Care, Mobile","San Jose, California, United States",1/1/14,5/8/14,5000000,Seed,5000000,Operating
1586,1586,SysClass,Education,"Dallas, Texas, United States",1/1/12,5/9/14,1750000,Seed,1750000,Operating
1596,1596,Niche,"Media and Entertainment, Software, Sales and Marketing, Internet Services","New York, New York, United States",6/1/13,5/15/14,2500000,Seed,3050000,Was Acquired
1601,1601,JumpHawk,"Sales and Marketing, Internet Services, Advertising","Port Chester, New York, United States",5/15/14,5/15/14,2500000,Seed,2500000,Operating
1605,1605,OLSET,"Travel and Tourism, Data and Analytics, Software","San Francisco, California, United States",9/4/12,5/16/14,600000,Seed,1715000,Was Acquired
1606,1606,Pelican Renewables,"Natural Resources, Energy, Sustainability","New York, New York, United States",1/1/14,5/17/14,1500000,Seed,1500000,Operating
1614,1614,Medicast,"Health Care, Mobile","Palo Alto, California, United States",1/1/13,5/20/14,1400000,Seed,1940000,Was Acquired
1618,1618,Tackle Grab,"Commerce and Shopping, Internet Services","East Sandwich, Massachusetts, United States",1/1/12,5/21/14,1000000,Seed,1052500,Operating
1620,1620,AllTheRooms,Travel and Tourism,"Manhattan, New York, United States",1/1/13,5/23/14,3300000,Seed,3300000,Operating
1621,1621,Bellabeat,"Hardware, Consumer Electronics, Software, Health Care","San Francisco, California, United States",1/1/13,5/23/14,4500000,Seed,4500000,Operating
1626,1626,OfferSavvy,"Science and Engineering, Commerce and Shopping, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Advertising","Minneapolis, Minnesota, United States",6/1/12,5/27/14,100000,Seed,1300000,Operating
1628,1628,Structured Polymers,"Manufacturing, Science and Engineering","Austin, Texas, United States",1/1/13,5/28/14,1500000,Seed,1500000,Operating
1629,1629,Bindo,Commerce and Shopping,"New York, New York, United States",12/27/13,5/28/14,1800000,Seed,1800000,Operating
1630,1630,Vhoto,"Apps, Media and Entertainment, Software, Video, Content and Publishing, Mobile","Seattle, Washington, United States",1/1/12,5/29/14,750000,Seed,3150000,Operating
1631,1631,Freedom Capital Investment Management,Financial Services,"Arlington, Virginia, United States",3/12/14,5/29/14,1275000,Seed,1275000,Operating
1632,1632,LiftMetrix,"Media and Entertainment, Data and Analytics, Sales and Marketing, Internet Services","New York, New York, United States",12/1/13,5/30/14,2000000,Seed,2000000,Was Acquired
1633,1633,Tyngu,"Software, Education","New York, New York, United States",1/1/14,5/30/14,1600000,Seed,1600000,Operating
1637,1637,BrightSky Labs,"Apps, Media and Entertainment, Software, Video","San Jose, California, United States",1/1/13,6/1/14,1600000,Seed,1600000,Operating
1641,1641,Sofive,Sports,"Brooklyn, New York, United States",1/1/13,6/1/14,2100000,Seed,2100000,Operating
1650,1650,Renasar Technologies,Software,"Hopkinton, Massachusetts, United States",1/1/14,6/1/14,2000000,Seed,2000000,Was Acquired
1651,1651,FutureLeague,"Software, Education","San Francisco, California, United States",1/1/14,6/1/14,1200000,Seed,1489000,Operating
1659,1659,Zulu Inc,"Commerce and Shopping, Software, Internet Services","San Jose, California, United States",6/8/14,6/1/14,750000,Seed,1250000,Operating
1675,1675,Gro Intelligence,"Agriculture and Farming, Information Technology, Data and Analytics, Software, Design","New York, New York, United States",1/1/14,6/2/14,3500000,Seed,3500000,Operating
1677,1677,LumaCyte,"Biotechnology, Science and Engineering, Health Care","Keswick, Virginia, United States",11/20/12,6/4/14,512080,Seed,1364640,Operating
1679,1679,Ambition,Software,"Chattanooga, Tennessee, United States",2/21/13,6/4/14,2000000,Seed,2000000,Operating
1680,1680,Triblio,"Software, Sales and Marketing","Vienna, Virginia, United States",1/1/13,6/5/14,3400000,Seed,3400000,Operating
1687,1687,Avni Networks,"Hardware, Information Technology, Software","Milpitas, California, United States",6/1/13,6/9/14,4500000,Seed,4500000,Operating
1690,1690,Dwellable,"Travel and Tourism, Information Technology, Internet Services","Seattle, Washington, United States",3/15/12,6/10/14,2100000,Seed,2100000,Was Acquired
1696,1696,Fitbay,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","New York, New York, United States",5/1/13,6/11/14,2000000,Seed,2400000,Operating
1702,1702,Magnises,"Payments, Financial Services","New York, New York, United States",1/1/14,6/12/14,1500000,Seed,1500000,Operating
1705,1705,Easyrent.com,Real Estate,"Jupiter, Florida, United States",6/12/14,6/12/14,2000000,Seed,2000000,Operating
1715,1715,Parlio,"Media and Entertainment, Internet Services, Content and Publishing","Palo Alto, California, United States",6/15/14,6/15/14,1675000,Seed,1675000,Was Acquired
1720,1720,Dextro,"Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence","New York, New York, United States",1/1/13,6/17/14,1710000,Seed,1710000,Was Acquired
1722,1722,Calm,"Community and Lifestyle, Health Care, Mobile","San Francisco, California, United States",5/4/12,6/18/14,578000,Seed,1043000,Operating
1724,1724,zEconomy,"Commerce and Shopping, Payments, Financial Services","Culver City, California, United States",1/1/13,6/18/14,1550000,Seed,1550000,Operating
1731,1731,SourceThought,Data and Analytics,"San Juan Capistrano, California, United States",1/1/12,6/20/14,550000,Seed,4359000,Operating
1732,1732,FameBit,"Sales and Marketing, Internet Services, Advertising","Santa Monica, California, United States",1/1/13,6/20/14,1500000,Seed,1500000,Was Acquired
1740,1740,TeachBoost,"Community and Lifestyle, Education, Internet Services","Brooklyn, New York, United States",1/1/12,6/25/14,1500000,Seed,1500000,Operating
1742,1742,BlockScore,"Information Technology, Software, Payments, Privacy and Security, Financial Services","Palo Alto, California, United States",1/1/13,6/25/14,2000000,Seed,2025000,Operating
1746,1746,amSTATZ,"Software, Sports, Internet Services","Chicago, Illinois, United States",1/1/12,6/26/14,1450000,Seed,1865000,Operating
1747,1747,i.Predictus,"Data and Analytics, Software, Sales and Marketing, Advertising","Cedar Knolls, New Jersey, United States",1/1/12,6/26/14,4600000,Seed,4600000,Operating
1750,1750,Ubooly,"Platforms, Software, Consumer Goods, Education, Financial Services, Mobile","Boulder, Colorado, United States",3/1/12,6/30/14,120000,Seed,2720000,Was Acquired
